Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
240,Kevin Knox\knoxke01,PF,19,NYK,16,3,17.9,2.6,7.9,.325,1.1,3.3,.327,1.5,4.6,.324,.393,1.3,1.9,.700,0.7,2.1,2.8,0.4,0.4,0.4,1.0,1.9,7.5
241,Furkan Korkmaz\korkmfu01,SG,21,PHI,16,0,11.7,1.7,4.3,.391,0.7,2.5,.275,1.0,1.8,.552,.471,0.8,0.9,.857,0.3,1.6,1.9,1.1,0.5,0.0,0.3,1.1,4.8
242,Luke Kornet\kornelu01,PF,23,NYK,4,0,3.3,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
243,Kyle Korver\korveky01,PF,37,TOT,17,0,16.1,2.4,4.9,.482,1.7,3.5,.483,0.6,1.4,.478,.657,0.8,0.9,.813,0.0,1.8,1.8,1.1,0.2,0.2,1.1,1.3,7.2
243,Kyle Korver\korveky01,PF,37,CLE,16,0,15.7,2.2,4.8,.461,1.6,3.4,.463,0.6,1.4,.455,.625,0.8,1.0,.813,0.0,1.8,1.8,1.1,0.2,0.1,1.1,1.4,6.8
243,Kyle Korver\korveky01,G-F,37,UTA,1,0,22.0,5.0,7.0,.714,4.0,6.0,.667,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,14.0
244,Kosta Koufos\koufoko01,C,29,SAC,7,0,14.0,2.0,3.9,.519,0.0,0.0,,2.0,3.9,.519,.519,0.0,0.0,,1.1,4.3,5.4,1.0,1.0,0.4,0.4,2.1,4.0
245,Rodions Kurucs\kurucro01,SF,20,BRK,7,0,11.7,2.6,5.0,.514,0.9,2.0,.429,1.7,3.0,.571,.600,0.6,0.6,1.000,1.0,2.0,3.0,0.1,0.1,0.0,0.7,0.6,6.6
246,Kyle Kuzma\kuzmaky01,SF,23,LAL,22,20,30.9,6.5,13.8,.469,1.5,5.2,.298,4.9,8.6,.571,.525,1.9,2.6,.719,0.6,4.6,5.2,1.7,0.5,0.5,1.4,2.3,16.3
247,Skal Labissiere\labissk01,PF,22,SAC,7,0,5.7,0.9,1.9,.462,0.1,0.7,.200,0.7,1.1,.625,.500,0.6,0.7,.800,0.1,1.1,1.3,0.3,0.3,0.1,0.6,1.6,2.4
248,Jeremy Lamb\lambje01,SG,26,CHO,22,22,28.0,5.5,12.0,.457,1.5,4.0,.379,4.0,8.1,.494,.519,2.9,3.2,.900,0.8,4.6,5.4,1.8,1.3,0.4,0.9,2.4,15.4
249,Zach LaVine\lavinza01,SG,23,CHI,22,22,35.9,8.5,19.9,.430,1.7,5.5,.303,6.9,14.3,.479,.473,6.0,6.9,.868,0.4,5.0,5.4,4.8,0.9,0.6,3.9,2.1,24.8
250,Jake Layman\laymaja01,SF,24,POR,19,19,15.8,2.1,4.0,.513,0.8,2.1,.385,1.3,1.9,.649,.612,0.2,0.3,.500,0.6,1.7,2.3,0.4,0.5,0.4,0.6,1.1,5.1
251,T.J. Leaf\leaftj01,PF,21,IND,14,0,7.1,0.9,2.4,.382,0.1,0.7,.200,0.8,1.7,.458,.412,0.0,0.0,,0.5,0.9,1.4,0.3,0.1,0.1,0.3,0.4,2.0
252,Damion Lee\leeda03,SG,26,GSW,11,0,14.5,2.0,4.6,.431,1.1,2.5,.429,0.9,2.1,.435,.549,0.7,0.9,.800,0.1,2.1,2.2,0.2,0.7,0.0,0.5,1.4,5.8
253,Alex Len\lenal01,C,25,ATL,21,17,21.3,4.1,8.0,.509,0.7,2.1,.341,3.4,6.0,.568,.553,1.8,2.8,.644,2.0,3.6,5.6,1.0,0.4,1.0,1.7,3.0,10.7
254,Kawhi Leonard\leonaka01,SF,27,TOR,17,17,34.2,8.9,18.4,.482,1.5,4.2,.347,7.4,14.2,.523,.522,5.8,6.9,.838,1.2,7.3,8.5,3.1,1.7,0.5,2.0,1.6,25.0
255,Meyers Leonard\leoname01,C,26,POR,19,0,13.2,2.2,4.3,.519,1.1,2.1,.513,1.2,2.2,.524,.642,1.0,1.2,.826,1.3,3.3,4.6,1.0,0.3,0.1,0.7,1.3,6.5
256,Jon Leuer\leuerjo01,PF,29,DET,8,0,8.0,1.0,1.9,.533,0.0,0.4,.000,1.0,1.5,.667,.533,0.5,0.8,.667,0.8,1.4,2.1,0.4,0.3,0.0,0.4,1.4,2.5
